종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지(H)
244580,2,KODEX 바이오,9720,5,-10,-0.1,9845.0,4.7926,133875,1307,412,국내 업종/테마,KODEX,False,False,False
361580,1,KBSTAR 200TR,16475,5,-85,-0.51,16510.0,-10.6556,5669,93,412,국내 시장지수,KBSTAR,False,False,False
136340,6,KBSTAR 중기우량회사채,101840,5,-160,-0.16,101880.0,-0.3177,916,93,406,채권,KBSTAR,False,False,False
385720,1,TIMEFOLIO Kstock액티브,7950,2,10,0.13,7958.0,-14.5778,111,0,405,국내 시장지수,TIMEFOLIO,False,False,False
359210,1,KODEX 코스피TR,11190,5,-55,-0.49,11213.0,-11.5612,148,1,403,국내 시장지수,KODEX,False,False,False
356540,6,KINDEX 종합채권(AA-이상)KIS액티브,93310,5,-185,-0.2,93298.0,0.4674,4,0,402,채권,KINDEX,False,False,False
418660,4,TIGER 미국나스닥100레버리지(합성),8410,5,-315,-3.61,8363.0,-14.9611,968797,8173,391,해외 주식,TIGER,False,True,False
138230,7,KOSEF 미국달러선물,13770,5,-60,-0.43,13775.0,6.9605,7095,97,383,기타,KOSEF,False,False,False
300640,2,KBSTAR 게임테마,11750,2,40,0.34,11752.0,-25.0369,4223,49,382,국내 업종/테마,KBSTAR,False,False,False
341850,7,TIGER 리츠부동산인프라채권TR KIS,5245,5,-15,-0.29,5249.0,-10.1009,1247,6,380,기타,TIGER,False,False,False
102970,2,KODEX 증권,5740,5,-70,-1.2,5742.0,-20.8447,88208,507,379,국내 업종/테마,KODEX,False,False,False
365000,2,TIGER KRX인터넷K-뉴딜,5775,5,-60,-1.03,5774.0,-29.952,139445,803,378,국내 업종/테마,TIGER,False,False,False
411060,5,KINDEX KRX금현물,10470,5,-30,-0.29,10426.0,-7.6111,13007,136,377,원자재,KINDEX,False,False,False
117680,2,KODEX 철강,7090,2,60,0.85,7092.0,-25.165,66236,469,372,국내 업종/테마,KODEX,False,False,False
114460,6,KINDEX 국고채3년,102555,5,-75,-0.07,102590.0,0.4512,890,91,369,채권,KINDEX,False,False,False
261270,7,KODEX 미국달러선물인버스,8715,2,30,0.35,8721.0,-6.613,50665,440,369,기타,KODEX,True,False,False
407830,4,에셋플러스 글로벌플랫폼액티브,5875,5,-30,-0.51,5864.0,-18.8317,8203,48,364,해외 주식,에셋플러스,False,False,False
252420,3,KBSTAR 200선물인버스2X,3175,2,20,0.63,3180.0,22.0502,205785,654,362,국내 파생,KBSTAR,True,False,False
279530,2,KODEX 고배당,8985,2,20,0.22,8989.0,-11.8226,4809,43,359,국내 업종/테마,KODEX,False,False,False
114470,6,KOSEF 국고채3년,108030,5,-115,-0.11,108067.0,0.5027,855,92,356,채권,KOSEF,False,False,False
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,9570,2,35,0.37,9546.0,-5.5474,274,2,354,해외 주식,KOSEF,False,False,False
227540,2,TIGER 200 헬스케어,19200,2,200,1.05,19215.0,-1.5545,4409,84,353,국내 업종/테마,TIGER,False,False,False
284430,6,KODEX 200미국채혼합,12160,5,-80,-0.65,12143.0,-0.73,12781,155,350,채권,KODEX,False,False,False
292190,1,KODEX KRX300,14590,5,-55,-0.38,14601.0,-10.723,17917,260,350,국내 시장지수,KODEX,False,False,False
225030,4,TIGER 미국S&P500선물인버스(H),4205,2,55,1.33,4199.0,10.6666,11730,49,336,해외 주식,TIGER,True,False,True
